mode,load,0_densenet121-2,1_inception_v3-16,2_vgg13-32
mps-uncap,0.8,317.873275279999,261.9946718215944,204.41246032714844
mps-uncap,0.9,948.3839726448058,425.58790206909185,1441.6610336303713
mps-uncap,1.0,2239.8597502708435,690.86722612381,5804.591941833495
mps-uncap,0.5,48.263072967529276,71.66601657867427,76.4195919036865
mps-uncap,0.6,99.4118738174435,62.09578990936277,72.83307075500483
mps-uncap,0.7,170.36784648895227,162.43300914764416,163.29457283020022
mps-uncap,0.1,23.237676620483377,11.628651618957468,29.442706108093297
mps-uncap,0.2,23.141489028930668,20.86050987243652,26.713771820068363
mps-uncap,0.3,21.1134147644043,21.84224128723138,35.533394813537654
mps-uncap,0.4,29.343457221984867,24.62835311889647,46.576473712921086
