mode,load,0_squeezenet1_1-16,1_efficientnet_b6-2,2_resnet18-2
mps-uncap,1.0,4983.9748733360675,107.03235692441841,907.3934803087544
mig,1.0,3855.1297871397965,113.59461271333268,942.22463945079
