mode,load,0_efficientnet_b7-16,1_mobilenet_v2-8,2_vgg19-16
mps-uncap,0.6,157.20872966178507,924.6165849363913,228.01715172341167
mig,0.6,161.93039022561237,910.5065765974256,214.4960284104202
mps-uncap,0.7,181.26914141962314,1061.7985043715769,263.02281118706964
mig,0.7,186.4603301130238,1058.7137207014566,279.85791238446683
mps-uncap,0.8,218.48768772864938,1225.078136913272,311.290314034352
mig,0.8,214.0432134543475,1197.4819305101635,320.2893647854002
mps-uncap,0.9,248.9430956589886,1152.0065036613516,352.44856884466526
mig,0.9,236.1732234006961,1352.8857289277005,343.8666667719091
mps-uncap,1.0,267.5584377631844,1106.4913034814333,363.0435767125908
mig,1.0,260.4155673577149,1493.8604099697773,378.6703802684883
mps-uncap,1.1,287.9707756630514,982.5277222195942,419.0928032630253
mig,1.1,263.9086183276735,1497.2831223323979,381.702404381399
mps-uncap,1.2,293.5212574717184,881.9407386435463,477.09067261539803
mig,1.2,263.2734584485012,1500.9128335142425,381.9887081921829
mps-uncap,1.3,291.5673104406519,866.0061582687952,482.6368714436319
mig,1.3,263.1511079333032,1487.0097761008085,380.5606399041055
