mode,load,0_efficientnet_b7-16,1_mobilenet_v2-8,2_vgg19-16
mps-uncap,0.6,0.03218650817871094,3.8604736328125,0.0247955322265625
mig,0.6,22.589445114135742,2.239823341369629,7.089018821716309
mps-uncap,0.7,0.03743171691894531,9.67717170715332,0.019073486328125
mig,0.7,41.66388511657715,3.9107799530029297,36.25631332397461
mps-uncap,0.8,18.934965133666992,170.33255100250244,0.018596649169921875
mig,0.8,80.36398887634277,7.052183151245117,53.89547348022461
mps-uncap,0.9,39.57962989807129,8037.984490394592,0.018835067749023438
mig,0.9,154.31714057922363,19.442081451416016,203.2710313796997
mps-uncap,1.0,67.3973560333252,12586.320161819458,0.018596649169921875
mig,1.0,2486.217498779297,716.1033153533936,1788.6667251586914
mps-uncap,1.1,180.37772178649902,20171.94378376007,0.020503997802734375
mig,1.1,6081.786036491394,4197.456836700439,4069.2355632781982
mps-uncap,1.2,3411.9925498962402,23045.918464660645,1.2276172637939453
mig,1.2,6944.305181503296,7399.198055267334,6600.962162017822
mps-uncap,1.3,7997.285842895508,24524.633407592773,2.1681785583496094
mig,1.3,10743.463397026062,10363.40355873108,10248.903274536133
