mode,load,0_efficientnet_b7-16,1_mobilenet_v2-8,2_vgg19-16
mps-uncap,0.6,141.57867431640625,89.98632431030273,40.85421562194824
mig,0.6,274.6138572692871,55.776357650756836,285.33267974853516
mps-uncap,0.7,164.5662784576416,156.36301040649414,48.80881309509277
mig,0.7,531.2943458557129,56.02550506591797,516.4375305175781
mps-uncap,0.8,294.4161891937256,1167.4885749816895,50.55642127990723
mig,0.8,696.441650390625,92.52786636352539,599.200963973999
mps-uncap,0.9,436.56396865844727,13389.44149017334,73.99725914001465
mig,0.9,1263.8053894042969,140.39325714111328,930.3045272827148
mps-uncap,1.0,737.999439239502,24977.081298828125,75.23155212402344
mig,1.0,5340.240955352783,1754.9922466278076,3315.3185844421387
mps-uncap,1.1,1074.8836994171143,38158.73026847839,74.62620735168457
mig,1.1,10172.34754562378,9194.792747497559,8611.045598983765
mps-uncap,1.2,8591.041803359985,47309.94391441345,77.94952392578125
mig,1.2,13803.646802902222,15838.443040847778,15759.353399276733
mps-uncap,1.3,13876.07455253601,50484.03072357178,76.03836059570312
mig,1.3,21047.484636306763,22466.289281845093,21726.051092147827
