mode,load,0_efficientnet_b7-16,1_mobilenet_v2-8,2_vgg19-16
mps-uncap,0.6,138.98563385009766,62.538247108459466,41.906952857971255
mig,0.6,262.47541427612305,32.437984943389885,208.2098722457889
mps-uncap,0.7,178.33812713623055,116.93549156188965,47.33714103698737
mig,0.7,490.428876876831,38.038506507873564,442.3682403564452
mps-uncap,0.8,274.4733905792237,1098.6342906951902,47.299907207489035
mig,0.8,656.7512273788457,63.47165107727054,503.8659429550172
mps-uncap,0.9,390.5683517456052,13250.71976184845,54.88113880157471
mig,0.9,1163.610696792603,111.14962100982669,850.7538557052616
mps-uncap,1.0,683.534586429596,24584.625554084778,56.751699447631644
mig,1.0,5197.385568618774,1702.1589946746826,3243.626251220703
mps-uncap,1.1,912.5784349441527,37755.33811092377,66.419792175293
mig,1.1,9887.97050714493,9039.514055252075,8544.723567962646
mps-uncap,1.2,8529.672956466675,46846.587698459625,68.94164562225345
mig,1.2,13738.009495735168,15667.964019775392,15680.583491325371
mps-uncap,1.3,13804.061241149902,50043.45065116882,73.05523395538329
mig,1.3,21036.17347240448,22251.156215667725,21589.080190658566
