mode,load,0_densenet161-16,1_mobilenet_v3_large-4,2_vgg19-8
mps-uncap,0.8,56.9270133972168,17.451052665710453,13.060808181762695
mps-uncap,0.9,57.15188980102539,17.888617515563965,12.744045257568358
mps-uncap,1.0,62.69587516784668,15.707356929779051,12.624478340148926
mps-uncap,0.5,50.26113986968994,15.066137313842773,12.497150897979736
mps-uncap,0.6,54.286956787109375,15.491647720336909,12.830300331115723
mps-uncap,0.7,60.52771091461181,14.134469032287596,12.839491367340086
mps-uncap,0.1,45.08977890014649,12.35558986663818,12.820701599121094
mps-uncap,0.2,38.16268920898436,12.423143386840819,11.763207912445068
mps-uncap,0.3,46.356973648071296,13.81745338439941,12.094440460205076
mps-uncap,0.4,54.38508987426758,12.166471481323244,12.4124026298523
