mode,load,0_densenet161-16,1_mobilenet_v3_large-4,2_vgg19-8
mps-uncap,0.8,226.65130123129737,330.43197378742894,724.7796721812953
mps-uncap,0.9,259.30139598947727,357.75982318210595,819.3056900434844
mps-uncap,1.0,261.8687772179737,394.30939139285346,836.7973167133392
mps-uncap,0.5,148.47281882742016,199.3084822942566,463.59260984292104
mps-uncap,0.6,180.82101921498125,246.77071246014756,565.8301619329702
mps-uncap,0.7,207.3486386195448,288.8870406045201,648.2424046633669
mps-uncap,0.1,31.54281759095772,38.1361063555049,89.85012932143577
mps-uncap,0.2,64.1686160267807,80.58163691142315,184.15862967758204
mps-uncap,0.3,86.60854315386284,120.52477940684,270.7693123830001
mps-uncap,0.4,116.72437714036703,162.78083722530283,356.3188062669867
