mode,load,0_mobilenet_v3_large-4,1_mobilenet_v3_large-4,2_mobilenet_v3_small-16
mps-uncap,0.8,5.130290985107422,5.13148307800293,4.330635070800781
mps-uncap,0.9,5.605983734130859,5.1293134689331055,4.319429397583008
mps-uncap,1.0,5.078554153442383,5.079030990600586,4.298210144042969
mps-uncap,0.5,5.173444747924805,5.127310752868652,4.440069198608398
mps-uncap,0.6,5.499839782714844,5.04894256591797,4.363775253295898
mps-uncap,0.7,5.364871025085449,4.977822303771973,4.316568374633789
mps-uncap,0.1,10.73465347290039,10.847210884094238,9.404706954956056
mps-uncap,0.2,7.595300674438477,7.517433166503906,6.90004825592041
mps-uncap,0.3,5.588698387145996,5.522441864013672,4.913139343261719
mps-uncap,0.4,5.241250991821289,5.185222625732422,4.578137397766114
