mode,load,0_mobilenet_v3_large-4,1_mobilenet_v3_large-4,2_mobilenet_v3_small-16
mps-uncap,0.8,4.81724739074707,4.814624786376953,4.066228866577148
mps-uncap,0.9,4.836559295654297,4.824399948120117,4.070043563842773
mps-uncap,1.0,4.8122406005859375,4.804134368896484,4.05120849609375
mps-uncap,0.5,4.773855209350586,4.751443862915039,4.078149795532227
mps-uncap,0.6,4.815340042114258,4.76527214050293,4.10914421081543
mps-uncap,0.7,4.876375198364258,4.744052886962891,4.119396209716797
mps-uncap,0.1,4.6901702880859375,4.800558090209961,4.069328308105469
mps-uncap,0.2,4.749536514282227,4.788637161254883,4.123210906982422
mps-uncap,0.3,4.734516143798828,4.740238189697266,4.11224365234375
mps-uncap,0.4,4.748106002807617,4.72712516784668,4.079103469848633
