mode,load,0_mobilenet_v3_large-4,1_mobilenet_v3_large-4,2_mobilenet_v3_small-16
mps-uncap,0.8,4.94837760925293,5.01704216003418,4.15802001953125
mps-uncap,0.9,4.906177520751953,4.989385604858398,4.184961318969727
mps-uncap,1.0,4.932880401611328,5.054712295532227,4.332542419433594
mps-uncap,0.5,4.837989807128906,4.815578460693359,4.1179656982421875
mps-uncap,0.6,4.922628402709961,4.925966262817383,4.285573959350586
mps-uncap,0.7,5.235433578491211,4.982471466064453,4.272222518920898
mps-uncap,0.1,4.734039306640625,4.838228225708008,4.123687744140625
mps-uncap,0.2,4.7817230224609375,4.824161529541016,4.1484832763671875
mps-uncap,0.3,4.769086837768555,4.778861999511719,4.161596298217773
mps-uncap,0.4,4.792690277099609,4.776716232299805,4.100561141967773
