mode,load,0_mobilenet_v3_large-4,1_mobilenet_v3_large-4,2_mobilenet_v3_small-16
mps-uncap,0.8,799.8220959998246,799.9665550771934,3785.6246437041405
mps-uncap,0.9,761.4381337659638,798.0274073145417,3787.7948357970777
mps-uncap,1.0,804.9953948688404,805.0591344366928,3805.776727580621
mps-uncap,0.5,687.8068279935138,707.7635990169493,3206.790342514199
mps-uncap,0.6,785.2264735100586,813.6152713654421,3743.427202626552
mps-uncap,0.7,791.0073873543236,817.6691577919781,3741.6922938629727
mps-uncap,0.1,145.92678830731455,143.3743241614426,622.9376780178147
mps-uncap,0.2,278.7688152392661,281.74846070348076,1231.8892826701208
mps-uncap,0.3,411.5440367595922,417.95899670695275,1925.3307460622702
mps-uncap,0.4,554.9485093282464,568.1178220340271,2584.7708348944925
