mode,load,0_mobilenet_v3_large-4,1_mobilenet_v3_large-4,2_mobilenet_v3_small-16
mps-uncap,0.8,16567.481756210327,17652.75549888611,14587.424993515015
mps-uncap,0.9,24461.169004440308,22593.45579147339,20450.955867767334
mps-uncap,1.0,25778.077363967896,26425.062894821167,24581.990718841553
mps-uncap,0.5,95.02387046813965,105.23653030395508,80.20997047424316
mps-uncap,0.6,4436.3062381744385,2230.8831214904785,1887.6731395721436
mps-uncap,0.7,11833.756446838379,10133.156776428223,10222.598552703857
mps-uncap,0.1,30.10249137878418,25.315523147583008,34.27481651306152
mps-uncap,0.2,22.54199981689453,24.92809295654297,26.103734970092773
mps-uncap,0.3,29.002666473388672,28.120040893554688,26.69501304626465
mps-uncap,0.4,52.89745330810547,54.32462692260742,56.56766891479492
