mode,load,0_mobilenet_v3_large-4,1_mobilenet_v3_large-4,2_mobilenet_v3_small-16
mps-uncap,0.8,16372.14018583298,17481.75861597061,14493.303775787354
mps-uncap,0.9,24222.74512052536,22347.059857845306,20256.21871948242
mps-uncap,1.0,25494.127824306488,26178.62515449524,24332.354669570923
mps-uncap,0.5,67.67081260681162,81.45889043807976,58.3312439918517
mps-uncap,0.6,4361.987080574036,2199.3477058410645,1868.9126324653625
mps-uncap,0.7,11684.612791538239,9972.76072502136,10091.390550136566
mps-uncap,0.1,16.685762405395508,15.6848669052124,14.83623981475831
mps-uncap,0.2,14.043343067169149,15.122256278991738,12.928397655487027
mps-uncap,0.3,17.075750827789292,16.284523010253892,16.052160263061516
mps-uncap,0.4,32.09284782409667,30.996146202087388,30.583975315093983
