mode,load,0_mobilenet_v3_large-4,1_mobilenet_v3_large-4,2_mobilenet_v3_small-16
mps-uncap,0.8,0.011682510375976562,0.012636184692382812,0.011920928955078125
mps-uncap,0.9,0.012159347534179688,0.012159347534179688,0.011682510375976562
mps-uncap,1.0,0.011920928955078125,0.012159347534179688,0.012159347534179688
mps-uncap,0.5,0.009775161743164062,0.009775161743164062,0.0095367431640625
mps-uncap,0.6,0.012159347534179688,0.012636184692382812,0.011682510375976562
mps-uncap,0.7,0.015497207641601562,0.011682510375976562,0.012636184692382812
mps-uncap,0.1,0.011682510375976562,0.011444091796875,0.011920928955078125
mps-uncap,0.2,0.0095367431640625,0.0095367431640625,0.0095367431640625
mps-uncap,0.3,0.0095367431640625,0.010013580322265625,0.009298324584960938
mps-uncap,0.4,0.008821487426757812,0.009298324584960938,0.009775161743164062
