mode,load,0_mobilenet_v3_large-4,1_mobilenet_v3_large-4,2_mobilenet_v3_small-16
mps-uncap,0.8,16581.01749420166,17666.592359542847,14598.662853240967
mps-uncap,0.9,24474.749088287354,22598.604679107666,20463.75322341919
mps-uncap,1.0,25791.325092315674,26433.226585388184,24594.682931900024
mps-uncap,0.5,99.92504119873047,110.10622978210449,84.33246612548828
mps-uncap,0.6,4441.241264343262,2235.7470989227295,1891.848087310791
mps-uncap,0.7,11838.75846862793,10138.046503067017,10232.653617858887
mps-uncap,0.1,38.445234298706055,32.109737396240234,38.87033462524414
mps-uncap,0.2,28.043746948242188,29.808521270751953,30.246496200561523
mps-uncap,0.3,33.9961051940918,33.049821853637695,30.85803985595703
mps-uncap,0.4,57.704925537109375,59.233665466308594,61.30337715148926
