mode,load,0_mobilenet_v3_large-4,1_mobilenet_v3_large-4,2_mobilenet_v3_small-16
mps-uncap,0.8,14733.176136016846,16085.227370262146,13082.527160644531
mps-uncap,0.9,21955.53495883942,20259.76951122284,18519.68216896057
mps-uncap,1.0,23164.392161369324,23831.609582901,22036.597990989685
mps-uncap,0.5,33.61594676971436,42.35661029815674,29.171013832092285
mps-uncap,0.6,4108.699369430542,2037.9830837249756,1771.1652994155884
mps-uncap,0.7,10823.550200462341,9095.861434936523,9331.101942062378
mps-uncap,0.1,7.624340057373046,7.402849197387695,6.523132324218751
mps-uncap,0.2,6.090044975280762,7.011651992797852,5.70034980773926
mps-uncap,0.3,8.237910270690922,8.307027816772461,7.547545433044435
mps-uncap,0.4,15.052413940429686,14.111709594726562,13.16285133361817
