mode,load,0_mobilenet_v3_large-4,1_mobilenet_v3_large-4,2_mobilenet_v3_small-16
mps-uncap,0.8,4.950046539306641,4.951238632202148,4.178285598754883
mps-uncap,0.9,5.119919776916504,4.971981048583984,4.182100296020508
mps-uncap,1.0,4.9304962158203125,4.930257797241211,4.166364669799805
mps-uncap,0.5,4.921913146972656,4.899263381958008,4.188776016235352
mps-uncap,0.6,4.954338073730469,4.8675537109375,4.193782806396484
mps-uncap,0.7,4.979372024536133,4.844903945922852,4.209756851196289
mps-uncap,0.1,8.754253387451172,8.849024772644043,7.944822311401367
mps-uncap,0.2,5.369424819946289,5.3844451904296875,4.95600700378418
mps-uncap,0.3,4.960060119628906,4.93621826171875,4.290938377380371
mps-uncap,0.4,4.914522171020508,4.8923492431640625,4.212379455566406
