mode,load,0_mobilenet_v3_large-4,1_mobilenet_v3_large-4,2_mobilenet_v3_small-16
mps-uncap,0.8,14738.035130500793,16090.155577659605,13086.683750152588
mps-uncap,0.9,21961.12928390503,20264.786529541016,18523.87433052063
mps-uncap,1.0,23169.31939125061,23836.512756347656,22040.788078308105
mps-uncap,0.5,38.52379322052002,47.30534553527832,33.434653282165534
mps-uncap,0.6,4113.690209388733,2042.8594589233398,1775.302815437317
mps-uncap,0.7,10828.509998321533,9100.738167762756,9335.31711101532
mps-uncap,0.1,16.460037231445312,16.22920036315918,14.300298690795898
mps-uncap,0.2,11.791110038757324,12.579154968261719,11.013126373291017
mps-uncap,0.3,13.203692436218262,13.215446472167967,11.855506896972658
mps-uncap,0.4,19.97442245483398,18.984460830688477,17.44174957275392
