mode,load,0_densenet201-32,1_alexnet-16,2_resnet50-16
mps-uncap,1.0,0.000476837158203125,0.000476837158203125,0.000476837158203125
mig,1.0,0.000476837158203125,0.000476837158203125,0.000476837158203125
