mode,load,0_densenet201-32,1_alexnet-16,2_resnet50-16
mps-uncap,1.0,38.92230987548828,1.9648075103759766,12.7410888671875
mig,1.0,51.16462707519531,3.5638809204101562,23.70905876159668
