mode,load,0_squeezenet1_1-32,1_squeezenet1_1-32,2_squeezenet1_1-32,3_squeezenet1_1-32
mig,0.1,2.0214080810546857,3.062605857849121,3.569936752319334,5.230188369750977
mig,0.2,8.175945281982424,9.081363677978516,8.982181549072266,14.996051788330078
mig,0.3,13.070011138916023,12.131309509277342,11.012411117553716,18.11256408691406
mig,0.4,17.426872253417972,15.585184097290043,15.292215347290043,28.62935066223144
mig,0.5,25.71592330932618,23.80347251892092,25.23183822631836,50.656366348266644
mig,0.6,32.39359855651855,33.67033004760742,32.448434829711914,62.82048225402832
mig,0.7,53.834056854248054,58.57577323913574,54.73036766052247,90.71626663208008
mig,0.8,176.73101425170898,226.65083408355713,141.2088394165039,247.45929241180417
mig,0.9,4419.816112518311,5006.855869293213,3844.475030899048,519.9000835418701
mig,1.0,9494.541501998901,8654.525995254517,9973.21724891663,7769.196653366088
