mode,load,0_squeezenet1_1-32,1_squeezenet1_1-32,2_squeezenet1_1-32,3_squeezenet1_1-32
mig,0.1,18.988370895385742,19.010543823242188,19.014596939086914,29.602527618408203
mig,0.2,21.89040184020996,19.818782806396484,19.884824752807617,28.68938446044922
mig,0.3,19.13142204284668,19.1800594329834,19.198894500732422,28.96404266357422
mig,0.4,19.340038299560547,19.361019134521484,19.38915252685547,27.621030807495117
mig,0.5,29.003620147705078,18.20683479309082,29.491662979125977,27.614355087280273
mig,0.6,18.265485763549805,19.093751907348633,18.613576889038086,28.867006301879883
mig,0.7,18.160104751586914,20.26534080505371,18.503665924072266,28.017044067382812
mig,0.8,23.53048324584961,26.32904052734375,23.408889770507812,35.986900329589844
mig,0.9,21.132946014404297,21.247148513793945,21.32725715637207,27.929306030273438
mig,1.0,18.60976219177246,18.837690353393555,18.824100494384766,27.225017547607422
