mode,load,0_squeezenet1_1-32,1_squeezenet1_1-32,2_squeezenet1_1-32,3_squeezenet1_1-32
mig,0.1,298.8576752495064,300.02810560060124,313.76950618033135,168.24342095585314
mig,0.2,615.525579280045,616.4666923811686,591.857112921788,305.9132315900867
mig,0.3,927.9970671810232,908.5768986058864,902.1418198744092,431.0052394453446
mig,0.4,1213.7595253537495,1181.104303194659,1204.6036109285033,641.3718554525205
mig,0.5,1488.8064458096358,1532.7075015234873,1549.100137144011,796.6086064893493
mig,0.6,1839.7047934770167,1790.8741456905361,1771.4759820477557,934.8835796274514
mig,0.7,2053.8171887759286,2076.620931292753,2063.085258937389,1120.1846989521694
mig,0.8,2446.636830015382,2407.4362184970114,2364.91503574664,1295.7571510481139
mig,0.9,2553.873842540741,2510.489317958411,2505.0258131387145,1384.5640103542255
mig,1.0,2530.7284722965924,2487.5704056246277,2462.3085750370906,1419.6692677502974
