mode,load,0_densenet169-8,1_densenet201-2,2_mobilenet_v2-16
mps-uncap,0.8,123.35419654846191,109.69328880310059,50.394296646118164
mps-uncap,0.9,245.29147148132324,248.4140396118164,103.41930389404297
mps-uncap,1.0,512.9876136779785,619.478702545166,206.39562606811523
mps-uncap,0.5,50.69446563720703,51.534414291381836,19.360065460205078
mps-uncap,0.6,75.95205307006836,64.90254402160645,31.401872634887695
mps-uncap,0.7,74.07236099243164,110.8865737915039,34.34038162231445
mps-uncap,0.1,26.2601375579834,25.813817977905273,9.006738662719727
mps-uncap,0.2,43.33019256591797,36.309242248535156,14.341354370117188
mps-uncap,0.3,41.879892349243164,45.81427574157715,19.39082145690918
mps-uncap,0.4,42.7548885345459,53.42292785644531,21.085739135742188
