mode,load,0_densenet169-8,1_densenet201-2,2_mobilenet_v2-16
mps-uncap,0.8,9.822607040405273,11.925935745239258,3.0465126037597656
mps-uncap,0.9,9.89532470703125,12.100934982299805,3.0469894409179688
mps-uncap,1.0,9.984016418457031,12.082099914550781,3.0553340911865234
mps-uncap,0.5,9.808063507080078,11.917591094970703,3.032684326171875
mps-uncap,0.6,9.744882583618164,12.109041213989258,3.0460357666015625
mps-uncap,0.7,9.972572326660156,11.91568374633789,3.0281543731689453
mps-uncap,0.1,10.006427764892578,11.982202529907227,3.0586719512939453
mps-uncap,0.2,9.678840637207031,12.139558792114258,3.028392791748047
mps-uncap,0.3,9.812116622924805,11.851310729980469,3.049612045288086
mps-uncap,0.4,9.870290756225586,12.357711791992188,3.033161163330078
