mode,load,0_densenet169-8,1_densenet201-2,2_mobilenet_v2-16
mps-uncap,0.8,359.49355769812666,88.3607655110491,2998.86560320896
mps-uncap,0.9,402.0390710381933,98.94971855545177,3420.6900670147907
mps-uncap,1.0,446.69955004435127,111.40690181993243,3748.5095941894174
mps-uncap,0.5,227.635222338359,56.214740743943786,1877.4591044032793
mps-uncap,0.6,267.6811421112459,65.38141730230787,2261.8236882356678
mps-uncap,0.7,302.80837211152425,77.2612006621934,2597.3249167379854
mps-uncap,0.1,44.83136525148445,10.105010293915274,362.9246435014921
mps-uncap,0.2,88.97703435410844,21.844879453193236,754.3666154438846
mps-uncap,0.3,137.7712167428662,33.78973726908483,1069.0714782871999
mps-uncap,0.4,173.04098757666682,41.19067835056509,1502.5205140664755
