mode,load,0_densenet169-8,1_densenet201-2,2_mobilenet_v2-16
mps-uncap,0.8,14.949560165405273,15.194177627563477,3.797769546508789
mps-uncap,0.9,17.040252685546875,17.086148262023926,3.8988590240478516
mps-uncap,1.0,17.488718032836914,17.631053924560547,3.9789676666259766
mps-uncap,0.5,12.72130012512207,14.132261276245117,3.753662109375
mps-uncap,0.6,12.629508972167969,14.32502269744873,3.6275386810302734
mps-uncap,0.7,13.216257095336914,14.641404151916504,3.5512447357177734
mps-uncap,0.1,18.207550048828125,21.094322204589844,5.544900894165039
mps-uncap,0.2,17.59636402130127,20.54297924041748,5.401849746704102
mps-uncap,0.3,16.18790626525879,15.527963638305664,5.462408065795898
mps-uncap,0.4,13.846635818481445,14.687538146972656,4.221081733703613
