mode,load,0_densenet169-8,1_densenet201-2,2_mobilenet_v2-16
mps-uncap,0.8,18.841028213500977,20.84493637084961,5.550861358642578
mps-uncap,0.9,20.211458206176758,21.584749221801758,5.307674407958984
mps-uncap,1.0,19.820213317871094,20.003318786621094,6.267309188842773
mps-uncap,0.5,23.381710052490234,22.65787124633789,6.510019302368164
mps-uncap,0.6,19.153833389282227,22.948026657104492,5.94782829284668
mps-uncap,0.7,19.72222328186035,23.054122924804688,5.789279937744141
mps-uncap,0.1,31.301021575927734,34.523963928222656,7.922649383544922
mps-uncap,0.2,27.668476104736328,33.11038017272949,7.3032379150390625
mps-uncap,0.3,26.69692039489746,32.74941444396973,10.345935821533203
mps-uncap,0.4,26.868104934692383,23.21028709411621,6.570577621459961
