mode,load,0_vgg11-32,1_vgg16-32,2_vgg19-16
mps-uncap,0.8,881.1583458802219,607.5098683066188,257.2072884860331
mps-uncap,0.9,985.5703830330893,715.2181807103274,283.1946228169535
mps-uncap,1.0,1067.972190867422,706.6062712388303,314.6829306565029
mps-uncap,0.5,576.370564080432,381.14783816433476,166.21329943168422
mps-uncap,0.6,670.5835063532099,440.60254607345945,193.30228609205005
mps-uncap,0.7,794.0837675578175,568.5641000529253,229.5202631587896
mps-uncap,0.1,98.35428956812311,82.91886622183226,33.1668457215606
mps-uncap,0.2,202.7478893781354,159.8690544671268,65.24444383280691
mps-uncap,0.3,336.9513847337305,223.44346693016877,96.1649705497904
mps-uncap,0.4,456.4060899079115,298.88948097163404,131.43667184033708
