mode,load,0_vgg11-32,1_vgg16-32,2_vgg19-16
mps-uncap,0.8,22.957563400268555,35.13455390930176,34.15250778198242
mps-uncap,0.9,28.264760971069336,42.43052005767822,47.981858253479004
mps-uncap,1.0,30.00473976135254,44.87156867980957,51.33390426635742
mps-uncap,0.5,14.348745346069336,27.176976203918457,17.932772636413574
mps-uncap,0.6,16.020536422729492,28.54478359222412,20.6756591796875
mps-uncap,0.7,20.270109176635742,31.629085540771484,28.906822204589844
mps-uncap,0.1,13.495683670043945,21.643638610839844,13.030409812927246
mps-uncap,0.2,13.457059860229492,21.476387977600098,12.959718704223633
mps-uncap,0.3,13.378143310546875,21.746397018432617,13.051390647888184
mps-uncap,0.4,13.638973236083984,22.862672805786133,13.427257537841797
