mode,load,0_vgg11-32,1_vgg16-32,2_vgg19-16
mps-uncap,0.8,0.010967254638671875,0.011444091796875,0.011205673217773438
mps-uncap,0.9,0.011205673217773438,0.011444091796875,0.010728836059570312
mps-uncap,1.0,0.011682510375976562,0.011205673217773438,0.013113021850585938
mps-uncap,0.5,0.010967254638671875,0.010728836059570312,0.010967254638671875
mps-uncap,0.6,0.010251998901367188,0.010728836059570312,0.010967254638671875
mps-uncap,0.7,0.011205673217773438,0.010967254638671875,0.010967254638671875
mps-uncap,0.1,0.02193450927734375,0.021457672119140625,0.014781951904296875
mps-uncap,0.2,0.011205673217773438,0.012159347534179688,0.015020370483398438
mps-uncap,0.3,0.012636184692382812,0.011444091796875,0.011444091796875
mps-uncap,0.4,0.010967254638671875,0.0095367431640625,0.011682510375976562
