mode,load,0_vgg11-32,1_vgg16-32,2_vgg19-16
mps-uncap,0.8,104.09605503082275,154.9124717712404,128.91302108764648
mps-uncap,0.9,214.66076374053964,488.7153148651123,296.4029550552368
mps-uncap,1.0,3295.863389968872,5390.715885162353,3294.036197662354
mps-uncap,0.5,39.29319381713868,64.03670310974123,44.40903663635254
mps-uncap,0.6,46.647071838378906,68.83494853973387,56.66537284851079
mps-uncap,0.7,75.26478767395018,98.10020923614503,97.72124290466311
mps-uncap,0.1,22.56698608398437,31.06443881988526,22.86081314086914
mps-uncap,0.2,24.430418014526367,33.6428165435791,28.87568473815918
mps-uncap,0.3,26.925373077392578,37.9539966583252,30.62973022460938
mps-uncap,0.4,32.68771171569824,45.48478126525879,39.615392684936516
