mode,load,0_resnet18-32,1_squeezenet1_0-2,2_vgg11-4
mps-uncap,0.8,165.47274589538574,31.472444534301758,77.55923271179199
mps-uncap,0.9,1029.9663543701172,259.9601745605469,200.32477378845215
mps-uncap,1.0,7853.153705596924,142.03190803527832,6010.774850845337
mps-uncap,0.5,30.915498733520508,16.02911949157715,22.99809455871582
mps-uncap,0.6,53.77984046936035,19.511938095092773,22.140979766845703
mps-uncap,0.7,65.70625305175781,19.681930541992188,33.510446548461914
mps-uncap,0.1,12.445926666259766,6.098747253417969,14.283895492553711
mps-uncap,0.2,15.717506408691406,12.51220703125,6.649494171142578
mps-uncap,0.3,16.47353172302246,17.546892166137695,13.791084289550781
mps-uncap,0.4,28.229713439941406,16.08586311340332,21.528959274291992
