mode,load,0_inception_v3-8,1_mobilenet_v2-2,2_squeezenet1_0-2
mps-uncap,0.6,8.686065673828125,4.056215286254883,1.7743110656738281
mig,0.6,8.598566055297852,3.9701461791992188,1.7414093017578125
mps-uncap,0.7,8.601903915405273,4.038095474243164,1.7654895782470703
mig,0.7,8.753538131713867,3.962278366088867,1.7559528350830078
mps-uncap,0.8,8.821964263916016,4.129171371459961,1.7652511596679688
mig,0.8,8.64410400390625,3.9520263671875,1.7533302307128906
mps-uncap,0.9,8.829832077026367,4.121541976928711,1.8126964569091797
mig,0.9,8.539199829101562,4.01616096496582,1.745462417602539
mps-uncap,1.0,8.991718292236328,4.093170166015625,1.8687248229980469
mig,1.0,8.592605590820312,4.018068313598633,1.7590522766113281
mps-uncap,1.1,9.124755859375,4.278421401977539,1.871347427368164
mig,1.1,8.694887161254883,4.29224967956543,1.9185543060302734
mps-uncap,1.2,9.22703742980957,4.157781600952148,1.9652843475341797
mig,1.2,8.823633193969727,4.067659378051758,1.8000602722167969
mps-uncap,1.3,9.814739227294922,4.281520843505859,2.0608901977539062
mig,1.3,8.767366409301758,4.246711730957031,1.7807483673095703
