mode,load,0_inception_v3-8,1_mobilenet_v2-2,2_squeezenet1_0-2
mps-uncap,0.6,9.009838104248047,4.19306755065918,1.870870590209961
mig,0.6,8.88967514038086,4.112482070922852,1.8296241760253906
mps-uncap,0.7,8.903741836547852,4.182338714599609,1.8575191497802734
mig,0.7,9.043216705322266,4.097938537597656,1.8377304077148438
mps-uncap,0.8,9.122133255004883,4.249095916748047,1.840353012084961
mig,0.8,8.884668350219727,4.050731658935547,1.8346309661865234
mps-uncap,0.9,9.055137634277344,4.218578338623047,1.8701553344726562
mig,0.9,8.722782135009766,4.100799560546875,1.794576644897461
mps-uncap,1.0,8.917093276977539,4.13966178894043,1.844644546508789
mig,1.0,8.679866790771484,4.07099723815918,1.7867088317871094
mps-uncap,1.1,8.909225463867188,4.178762435913086,1.8122196197509766
mig,1.1,8.606195449829102,4.086494445800781,1.8219947814941406
mps-uncap,1.2,8.786439895629883,4.129886627197266,1.82342529296875
mig,1.2,8.50534439086914,4.072427749633789,1.7864704132080078
mps-uncap,1.3,8.842945098876953,4.161834716796875,1.8138885498046875
mig,1.3,8.73875617980957,4.098653793334961,1.7943382263183594
