mode,load,0_inception_v3-8,1_mobilenet_v2-2,2_squeezenet1_0-2
mps-uncap,0.6,87.82100677490234,33.537864685058594,20.485639572143555
mig,0.6,86.95244789123535,41.146278381347656,20.273685455322266
mps-uncap,0.7,95.55220603942871,68.74537467956543,24.538755416870117
mig,0.7,106.13751411437988,43.68424415588379,25.66385269165039
mps-uncap,0.8,162.94050216674805,84.19585227966309,30.93886375427246
mig,0.8,150.56180953979492,66.64752960205078,33.25843811035156
mps-uncap,0.9,241.43552780151367,104.42304611206055,267.50874519348145
mig,0.9,203.36055755615234,98.98543357849121,121.36316299438477
mps-uncap,1.0,3952.6758193969727,425.6458282470703,4177.909374237061
mig,1.0,639.7171020507812,253.69620323181152,332.3078155517578
mps-uncap,1.1,10109.515190124512,11249.985218048096,7822.7698802948
mig,1.1,6385.27250289917,7956.640958786011,10097.31674194336
mps-uncap,1.2,16581.743955612183,17018.779516220093,17871.40440940857
mig,1.2,12509.646892547607,13990.56363105774,12348.794937133789
mps-uncap,1.3,22487.675428390503,22523.61536026001,22483.405351638794
mig,1.3,22328.076601028442,21312.306880950928,20365.094423294067
