mode,load,0_inception_v3-8,1_mobilenet_v2-2,2_squeezenet1_0-2
mps-uncap,0.6,47.28350639343265,22.539563179016127,12.131471633911113
mig,0.6,50.59316158294664,27.895336151123065,11.142082214355462
mps-uncap,0.7,70.85850715637204,32.57343769073486,15.944790840148933
mig,0.7,67.0772314071655,27.036278247833252,15.13446807861328
mps-uncap,0.8,114.72121477127074,60.77377557754517,22.408642768859856
mig,0.8,110.68066596984889,41.37490272521972,22.092962265014652
mps-uncap,0.9,202.92236328125009,78.04395198822019,235.591959953308
mig,0.9,167.48971939086914,70.10114192962642,80.47963619232182
mps-uncap,1.0,3923.8420128822327,390.07662773132347,4132.7959632873535
mig,1.0,551.6097807884208,213.58595609664914,300.9119272232057
mps-uncap,1.1,10003.877906799316,11151.238932609558,7716.675577163696
mig,1.1,6303.753986358641,7885.7990646362305,10059.067668914795
mps-uncap,1.2,16449.909472465515,16948.704028129578,17652.98445224762
mig,1.2,12357.30195760727,13820.585699081415,12235.526576042175
mps-uncap,1.3,22261.5469455719,22257.60687828064,22223.230481147766
mig,1.3,22025.773870944977,21077.001972198486,20139.478785991665
