mode,load,0_inception_v3-8,1_mobilenet_v2-2,2_squeezenet1_0-2
mps-uncap,0.6,545.5121307954765,291.77308567812776,659.4511619247429
mig,0.6,547.9678109133264,294.56686008837113,664.7542473252649
mps-uncap,0.7,632.4300082876782,334.0856309943899,768.2004035557346
mig,0.7,642.7472140579175,343.41648688318594,782.8617609126824
mps-uncap,0.8,737.2807229341051,387.8165163074424,874.0675975321002
mig,0.8,738.5934395335781,388.3145041960757,859.9648593383504
mps-uncap,0.9,827.3280095460955,439.3190209875059,1035.074039399408
mig,0.9,816.5969303229965,435.67380229857395,1005.3818310320007
mps-uncap,1.0,886.7839567085073,476.04494982303083,1056.7655080915085
mig,1.0,887.7910293823921,480.1490501630709,1095.819845029223
mps-uncap,1.1,889.5947584311191,474.4044844331976,1078.4449550512543
mig,1.1,921.6755985973016,486.20856474933476,1076.2591919909073
mps-uncap,1.2,904.7912839034706,481.52304866757487,1064.6801143076946
mig,1.2,935.9173281480835,488.22444821499556,1108.7553981087565
mps-uncap,1.3,899.2064629959549,477.91887710259846,1069.4388314939233
mig,1.3,908.9103145179487,485.12418706522226,1099.5627217641193
