mode,load,0_inception_v3-8,1_mobilenet_v2-2,2_squeezenet1_0-2
mps-uncap,0.6,8.624553680419922,4.004716873168945,1.7464160919189453
mig,0.6,8.540153503417969,3.946065902709961,1.7142295837402344
mps-uncap,0.7,8.525848388671875,3.993511199951172,1.7366409301757812
mig,0.7,8.694648742675781,3.938436508178711,1.7278194427490234
mps-uncap,0.8,8.735895156860352,4.091739654541016,1.7294883728027344
mig,0.8,8.561372756958008,3.900766372680664,1.7261505126953125
mps-uncap,0.9,8.764505386352539,4.058122634887695,1.7633438110351562
mig,0.9,8.493185043334961,3.9796829223632812,1.7142295837402344
mps-uncap,1.0,8.742809295654297,4.021406173706055,1.749277114868164
mig,1.0,8.463859558105469,3.966093063354492,1.718759536743164
mps-uncap,1.1,8.69131088256836,4.061460494995117,1.7216205596923828
mig,1.1,8.476018905639648,3.9932727813720703,1.7440319061279297
mps-uncap,1.2,8.622169494628906,4.031181335449219,1.7294883728027344
mig,1.2,8.342504501342773,3.975391387939453,1.7218589782714844
mps-uncap,1.3,8.675098419189453,4.051446914672852,1.718282699584961
mig,1.3,8.598566055297852,3.9877891540527344,1.7178058624267578
