mode,load,0_inception_v3-8,1_mobilenet_v2-2,2_squeezenet1_0-2
mps-uncap,0.6,79.04243469238281,29.461145401000977,18.635034561157227
mig,0.6,78.05299758911133,36.930084228515625,18.453121185302734
mps-uncap,0.7,86.6556167602539,64.60714340209961,22.725820541381836
mig,0.7,97.04399108886719,39.62111473083496,23.902416229248047
mps-uncap,0.8,153.77044677734375,79.96940612792969,29.105186462402344
mig,0.8,141.12615585327148,62.69550323486328,31.340599060058594
mps-uncap,0.9,232.2683334350586,100.23689270019531,265.6834125518799
mig,0.9,194.50664520263672,94.85602378845215,119.58837509155273
mps-uncap,1.0,3943.7825679779053,421.51546478271484,4173.484802246094
mig,1.0,631.1311721801758,249.66883659362793,330.4736614227295
mps-uncap,1.1,10100.690364837646,11245.854139328003,7816.082715988159
mig,1.1,6376.762390136719,7952.573537826538,10095.535516738892
mps-uncap,1.2,16570.162773132324,17014.70971107483,17856.717109680176
mig,1.2,12501.005411148071,13986.499309539795,12341.277360916138
mps-uncap,1.3,22475.165605545044,22513.179779052734,22464.717388153076
mig,1.3,22315.81473350525,21306.0884475708,20348.17147254944
