mode,load,0_inception_v3-8,1_mobilenet_v2-2,2_squeezenet1_0-2
mps-uncap,0.6,9.633684158325197,4.498004913330078,2.2926807403564453
mig,0.6,9.35678482055664,4.3912649154663095,2.050161361694336
mps-uncap,0.7,9.298276901245117,4.416346549987793,2.0902156829833984
mig,0.7,9.361505508422852,4.305529594421387,2.0363330841064453
mps-uncap,0.8,9.476709365844727,4.4599294662475595,2.048015594482422
mig,0.8,9.198594093322754,4.235267639160156,2.024412155151367
mps-uncap,0.9,9.414482116699219,4.417181015014648,2.0475387573242188
mig,0.9,9.073066711425781,4.274129867553711,1.9614696502685547
mps-uncap,1.0,9.282541275024414,4.308223724365234,2.001523971557617
mig,1.0,8.994793891906738,4.210948944091797,1.9023418426513672
mps-uncap,1.1,9.233236312866211,4.340410232543945,1.9598007202148438
mig,1.1,8.839750289916992,4.1942596435546875,1.9822120666503906
mps-uncap,1.2,9.010672569274902,4.228115081787109,2.0461082458496094
mig,1.2,8.66389274597168,4.157543182373047,1.8527507781982422
mps-uncap,1.3,9.05599594116211,4.262685775756836,2.037525177001953
mig,1.3,8.979439735412598,4.201412200927734,1.8756389617919922
