mode,load,0_inception_v3-8,1_mobilenet_v2-2,2_squeezenet1_0-2
mps-uncap,0.6,0.012159347534179688,0.011682510375976562,0.011682510375976562
mig,0.6,0.011682510375976562,0.011682510375976562,0.011682510375976562
mps-uncap,0.7,0.011920928955078125,0.011444091796875,0.011444091796875
mig,0.7,0.012159347534179688,0.011205673217773438,0.011682510375976562
mps-uncap,0.8,0.01239776611328125,0.012636184692382812,0.011682510375976562
mig,0.8,0.014066696166992188,0.011444091796875,0.011682510375976562
mps-uncap,0.9,0.01430511474609375,0.01239776611328125,0.01239776611328125
mig,0.9,0.013828277587890625,0.011444091796875,0.011682510375976562
mps-uncap,1.0,0.014781951904296875,0.014066696166992188,0.01430511474609375
mig,1.0,0.012636184692382812,0.013589859008789062,0.011920928955078125
mps-uncap,1.1,0.015020370483398438,0.014543533325195312,0.013113021850585938
mig,1.1,0.014781951904296875,0.017404556274414062,0.013828277587890625
mps-uncap,1.2,0.015974044799804688,0.014066696166992188,0.013113021850585938
mig,1.2,0.015735626220703125,0.01430511474609375,0.013828277587890625
mps-uncap,1.3,0.0152587890625,0.015497207641601562,0.014066696166992188
mig,1.3,0.016927719116210938,0.015497207641601562,0.013828277587890625
