mode,load,0_inception_v3-8,1_mobilenet_v2-2,2_squeezenet1_0-2
mps-uncap,0.6,10.37505626678467,5.018253326416016,3.2595825195312482
mig,0.6,10.085868835449217,5.014181137084961,2.43377685546875
mps-uncap,0.7,9.94143009185791,4.872930049896241,2.8541254997253485
mig,0.7,9.937143325805664,4.685249328613281,2.4037170410156246
mps-uncap,0.8,10.0704026222229,4.810776710510254,2.902901172637938
mig,0.8,9.709744453430176,4.532785415649413,2.37879753112793
mps-uncap,0.9,10.032224655151369,4.7766637802124015,2.923345565795897
mig,0.9,9.61954116821289,4.543864727020264,2.3360252380371094
mps-uncap,1.0,10.030643939971924,4.644041061401368,2.7398395538330083
mig,1.0,9.483098983764648,4.4484639167785645,2.2478079795837416
mps-uncap,1.1,9.903864860534663,4.616169929504395,2.609882354736328
mig,1.1,9.332895278930664,4.4518327713012695,2.1782684326171875
mps-uncap,1.2,9.540009498596188,4.488229751586914,2.5165414810180664
mig,1.2,9.129581451416016,4.4443321228027335,2.001523971557617
mps-uncap,1.3,9.478931427001955,4.520654678344727,2.5459861755371094
mig,1.3,9.50312614440918,4.492931365966797,2.145485877990721
