mode,load,0_inception_v3-8,1_mobilenet_v2-2,2_squeezenet1_0-2
mps-uncap,0.6,19.911909103393555,8.996725082397461,5.242347717285157
mig,0.6,19.549608230590827,9.545397758483887,3.9782047271728507
mps-uncap,0.7,27.594280242919922,13.781547546386719,6.765508651733398
mig,0.7,30.285120010375977,12.2067928314209,6.356430053710942
mps-uncap,0.8,56.618571281433105,29.9973726272583,10.586190223693855
mig,0.8,56.247878074645996,18.699550628662106,9.887218475341797
mps-uncap,0.9,121.37713432312017,44.18692588806154,187.26086616516113
mig,0.9,103.80306243896486,37.474870681762695,36.373519897460945
mps-uncap,1.0,3669.4201469421387,298.7170219421387,3994.9623107910165
mig,1.0,283.1403017044067,156.15007877349854,199.72138404846197
mps-uncap,1.1,8985.294461250305,10008.308267593384,7024.012804031372
mig,1.1,5906.477069854736,7076.887845993044,9375.881147384644
mps-uncap,1.2,14975.184917449951,15227.864241600037,16153.501415252684
mig,1.2,11439.513611793518,12428.34300994873,11021.197605133057
mps-uncap,1.3,20292.52381324768,20165.23861885071,20399.58963394165
mig,1.3,19999.55952167511,19265.805196762085,18348.067569732666
