mode,load,0_resnet50-4,1_resnet50-4,2_resnet50-4,3_resnet50-4
mig,0.1,17.786741256713867,14.199256896972656,15.3961181640625,24.83367919921875
mig,0.2,27.322769165039062,33.660173416137695,28.43189239501953,29.117822647094727
mig,0.3,28.715133666992188,30.14969825744629,33.46991539001465,41.24259948730469
mig,0.4,41.33486747741699,43.465614318847656,31.632184982299805,55.73248863220215
mig,0.5,48.86150360107422,46.19312286376953,47.421932220458984,71.53630256652832
mig,0.6,63.01474571228027,73.45843315124512,63.951730728149414,163.13505172729492
mig,0.7,73.02045822143555,77.8801441192627,85.54697036743164,206.4189910888672
mig,0.8,210.0830078125,136.65151596069336,223.20079803466797,277.9538631439209
mig,0.9,413.44308853149414,649.5747566223145,539.6397113800049,528.8968086242676
mig,1.0,5171.424388885498,4318.222284317017,5065.062522888184,6168.400764465332
