mode,load,0_squeezenet1_0-2,1_squeezenet1_0-2
mig,0.1,6.988286972045898,15.464544296264648
mig,0.2,15.00082015991211,11.08098030090332
mig,0.3,12.726068496704102,13.033151626586914
mig,0.4,13.591766357421875,15.71345329284668
mig,0.5,12.053489685058594,14.176368713378906
mig,0.6,11.751651763916016,10.066509246826172
mig,0.7,13.994693756103516,11.912822723388672
mig,0.8,13.633012771606445,15.419721603393555
mig,0.9,26.36265754699707,23.06079864501953
mig,1.0,21.821260452270508,17.804384231567383
