mode,load,0_squeezenet1_0-2,1_squeezenet1_0-2
mig,0.1,1.7867088317871094,1.760721206665039
mig,0.2,1.7304420471191406,1.7752647399902344
mig,0.3,1.7273426055908203,1.730203628540039
mig,0.4,1.710653305053711,1.7135143280029297
mig,0.5,1.7228126525878906,1.7361640930175781
mig,0.6,1.7917156219482422,1.7604827880859375
mig,0.7,1.783609390258789,1.7740726470947266
mig,0.8,1.7826557159423828,1.7895698547363281
mig,0.9,1.7673969268798828,1.7855167388916016
mig,1.0,1.8024444580078125,1.8191337585449219
