mode,load,0_squeezenet1_0-2,1_squeezenet1_0-2
mig,0.1,1.749277114868164,1.7495155334472656
mig,0.2,1.7015933990478516,1.7511844635009766
mig,0.3,1.714944839477539,1.703023910522461
mig,0.4,1.6779899597167969,1.6825199127197266
mig,0.5,1.6965866088867188,1.6956329345703125
mig,0.6,1.7147064208984375,1.7101764678955078
mig,0.7,1.7075538635253906,1.7080307006835938
mig,0.8,1.6968250274658203,1.7108917236328125
mig,0.9,1.6753673553466797,1.7125606536865234
mig,1.0,1.7101764678955078,1.745462417602539
