mode,load,0_densenet201-16,1_mobilenet_v3_small-16,2_resnet101-2
mps-uncap,0.8,551.1266961695146,3705.6600992386634,172.67300898549104
mps-uncap,0.9,621.4702922388022,4117.587892861987,200.20623600881189
mps-uncap,1.0,686.179436096863,4471.327972928017,222.41571186068714
mps-uncap,0.5,336.6866101828533,2283.901048640432,108.27878989921784
mps-uncap,0.6,417.18443777562493,2800.9541043922263,124.57293958021945
mps-uncap,0.7,483.6967550815219,3264.250441809426,149.98170474109605
mps-uncap,0.1,68.58572773738739,451.4000629538336,21.874092231494778
mps-uncap,0.2,145.950671446642,944.1225323708894,42.85805705115476
mps-uncap,0.3,200.94410750015166,1435.1005589269084,66.69862581432638
mps-uncap,0.4,287.05262767922267,1799.482431826684,84.89788574894432
