mode,load,0_densenet201-16,1_mobilenet_v3_small-16,2_resnet101-2
mps-uncap,0.8,20.87390422821045,2.9022693634033203,7.945060729980469
mps-uncap,0.9,22.061586380004883,3.0181407928466797,8.340954780578613
mps-uncap,1.0,21.67987823486328,3.311038017272949,8.66711139678955
mps-uncap,0.5,18.348097801208496,3.9086341857910156,7.843136787414551
mps-uncap,0.6,19.24276351928711,2.8471946716308594,7.623910903930664
mps-uncap,0.7,19.999980926513672,2.8029680252075195,7.458209991455078
mps-uncap,0.1,21.422863006591797,6.028532981872559,12.096881866455078
mps-uncap,0.2,19.58179473876953,6.061315536499023,11.51418685913086
mps-uncap,0.3,18.773555755615234,5.118012428283691,9.299874305725098
mps-uncap,0.4,18.215417861938477,4.034996032714844,8.461475372314453
