mode,load,0_densenet201-16,1_mobilenet_v3_small-16,2_resnet101-2
mps-uncap,0.8,232.74540901184082,46.34380340576172,66.46513938903809
mps-uncap,0.9,419.5551872253418,59.39030647277832,112.9150390625
mps-uncap,1.0,495.99170684814453,349.3983745574951,524.9829292297363
mps-uncap,0.5,77.34322547912598,25.032758712768555,32.41920471191406
mps-uncap,0.6,128.74412536621094,22.663354873657227,35.79092025756836
mps-uncap,0.7,148.79465103149414,25.928735733032227,52.53291130065918
mps-uncap,0.1,28.80239486694336,13.457298278808594,17.574787139892578
mps-uncap,0.2,31.363964080810547,26.696205139160156,40.40074348449707
mps-uncap,0.3,51.34868621826172,20.857572555541992,32.08136558532715
mps-uncap,0.4,48.654794692993164,20.052671432495117,48.3858585357666
