mode,load,0_efficientnet_b5-4,1_efficientnet_b6-16,2_vgg11-2
mps-uncap,0.8,26.771974563598633,31.50627613067627,3.811335563659668
mps-uncap,0.9,27.68993377685547,33.61022472381592,3.757953643798828
mps-uncap,1.0,28.324460983276367,34.45601463317871,3.8925647735595708
mps-uncap,0.5,21.961641311645508,27.566909790039062,3.2939195632934593
mps-uncap,0.6,23.262977600097656,28.241515159606934,3.430604934692383
mps-uncap,0.7,24.658536911010746,29.952716827392578,3.6300182342529306
mps-uncap,0.1,21.849799156188965,24.383163452148438,1.9001960754394531
mps-uncap,0.2,22.266626358032227,24.36237335205078,2.2962331771850586
mps-uncap,0.3,21.955323219299316,24.89006519317627,2.7248859405517623
mps-uncap,0.4,22.119522094726562,26.0127067565918,3.107619285583496
