mode,load,0_mobilenet_v2-4,1_mobilenet_v2-4,2_mobilenet_v2-4,3_mobilenet_v2-4
mig,0.1,152.37063879271724,160.08264271161173,154.8857832698872,89.62483076653515
mig,0.2,317.3975278352599,302.5374679927426,304.93690394426864,167.8906289193357
mig,0.3,480.84326763787266,452.16751193453746,450.0892149816074,257.66627417101915
mig,0.4,619.2108622906475,605.3618137296829,601.7466150037757,353.5756953571207
mig,0.5,765.9848321383771,757.1288501749808,758.882669657553,428.2313549448686
mig,0.6,957.9748381269812,918.7830719984172,918.9466817271208,515.6807300649971
mig,0.7,1084.6247318670548,1042.44810606449,1059.591026849883,605.4043893825884
mig,0.8,1226.7161221742203,1201.4114862012752,1193.858779429602,686.3020579519247
mig,0.9,1352.1861666495681,1373.9835000773182,1334.1531098052624,778.5758252768005
mig,1.0,1536.3739921717527,1522.3305370691105,1497.7938916463145,871.9140746045255
