mode,load,0_mobilenet_v2-4,1_mobilenet_v2-4,2_mobilenet_v2-4,3_mobilenet_v2-4
mig,0.1,13.178825378417969,16.298532485961914,15.344858169555664,10.24484634399414
mig,0.2,17.165184020996094,24.53303337097168,18.22042465209961,17.159461975097656
mig,0.3,28.66530418395996,23.71525764465332,24.05071258544922,23.38242530822754
mig,0.4,18.853187561035156,23.020267486572266,23.33521842956543,27.443408966064453
mig,0.5,23.342609405517578,19.79517936706543,19.88673210144043,23.919343948364258
mig,0.6,20.55048942565918,17.554521560668945,22.495746612548828,34.905433654785156
mig,0.7,30.364513397216797,24.454355239868164,24.379730224609375,47.725677490234375
mig,0.8,28.20873260498047,29.483556747436523,31.438112258911133,68.42327117919922
mig,0.9,40.201425552368164,71.12407684326172,74.50246810913086,107.15985298156738
mig,1.0,115.2651309967041,126.86705589294434,133.59427452087402,387.437105178833
