mode,load,0_mobilenet_v2-4,1_mobilenet_v2-4,2_mobilenet_v2-4,3_mobilenet_v2-4
mig,0.1,2.5043487548828125,2.5501251220703125,2.554655075073242,4.554986953735352
mig,0.2,2.498149871826172,2.5501251220703125,2.5594234466552734,4.560708999633789
mig,0.3,2.4988651275634766,2.5484561920166016,2.561330795288086,4.550695419311523
mig,0.4,2.498626708984375,2.5446414947509766,2.559185028076172,4.54401969909668
mig,0.5,2.501249313354492,2.5463104248046875,2.5544166564941406,4.545688629150391
mig,0.6,2.492666244506836,2.5458335876464844,2.5544166564941406,4.545450210571289
mig,0.7,2.4995803833007812,2.5436878204345703,2.55584716796875,4.540681838989258
mig,0.8,2.4962425231933594,2.545595169067383,2.552032470703125,4.543781280517578
mig,0.9,2.500772476196289,2.545595169067383,2.556324005126953,4.538536071777344
mig,1.0,2.4983882904052734,2.5441646575927734,2.5565624237060547,4.546880722045898
