mode,load,0_densenet161-8,1_resnet152-8,2_resnet18-8
mps-uncap,0.8,296.71588771913946,336.9970956770507,1754.2351980694234
mps-uncap,0.9,322.72527521083975,376.31334406698033,2008.1390069947183
mps-uncap,1.0,344.87464383428187,424.9720974117575,2223.952743293602
mps-uncap,0.5,172.0741664569504,210.38676246000793,1107.9496149825848
mps-uncap,0.6,223.37002920641373,250.39726605418002,1328.608090199512
mps-uncap,0.7,245.44222344154923,287.95404587540423,1535.9431007058645
mps-uncap,0.1,32.82006084822954,37.593063911249054,226.0685518253987
mps-uncap,0.2,72.74144832009402,90.17006426647434,461.7311816637693
mps-uncap,0.3,111.12002343033714,125.43642410621732,652.6631711414889
mps-uncap,0.4,133.73138194787947,172.7731344283823,881.860263613026
