mode,load,0_mobilenet_v3_small-4,1_resnet18-4,2_squeezenet1_1-2
mps-uncap,0.8,1245.535956644373,1994.9177265451447,1194.4442664980377
mps-uncap,0.9,1411.8792291549623,2290.0354337590243,1331.2977524486125
mps-uncap,1.0,1593.2128097289617,2561.3395129109413,1526.2511968384458
mps-uncap,0.5,794.5194435005653,1284.886201012518,786.1233409872937
mps-uncap,0.6,932.4393914590108,1535.9117448808377,914.0015267242188
mps-uncap,0.7,1121.488423283586,1770.865476982776,1052.620783633801
mps-uncap,0.1,162.17422803107513,257.87479995062057,154.6076025005979
mps-uncap,0.2,320.870002869117,513.0641678263954,309.4089383766542
mps-uncap,0.3,472.85409994381945,761.8771209620642,460.20497023994466
mps-uncap,0.4,641.5191248766972,1048.9504407668105,626.3261065137399
