mode,load,0_mobilenet_v3_small-4,1_resnet18-4,2_squeezenet1_1-2
mps-uncap,0.8,4.601716995239258,2.6547908782958984,2.40325927734375
mps-uncap,0.9,3.5009384155273438,2.6121139526367188,2.5365352630615234
mps-uncap,1.0,3.6737918853759766,2.7451515197753906,2.402782440185547
mps-uncap,0.5,6.092309951782227,3.242015838623047,2.7532577514648438
mps-uncap,0.6,5.300998687744141,2.839803695678711,3.556489944458008
mps-uncap,0.7,4.324436187744141,2.531766891479492,2.3851394653320312
mps-uncap,0.1,7.438182830810547,3.916501998901367,3.547191619873047
mps-uncap,0.2,7.210731506347656,3.9632320404052734,3.7636756896972656
mps-uncap,0.3,7.498502731323242,5.1479339599609375,3.3457279205322266
mps-uncap,0.4,6.6356658935546875,3.9649009704589844,3.7984848022460938
