mode,load,0_densenet169-2,1_inception_v3-16,2_resnet34-4
mps-uncap,0.8,123.5902962015202,1400.9305764494557,873.0117998909469
mps-uncap,0.9,140.48115829036098,1549.8483618484722,992.0187913668121
mps-uncap,1.0,154.34183928281416,1743.9868736257492,1078.9023560174169
mps-uncap,0.5,72.81731160792265,853.8419475718764,542.1305097619642
mps-uncap,0.6,90.08154293769933,1090.517124854557,649.9533711862018
mps-uncap,0.7,106.271574432069,1197.7556839713022,751.172389476194
mps-uncap,0.1,15.935566438656414,171.37415159783595,114.57188204852042
mps-uncap,0.2,31.930767428245954,356.9896230211019,213.8632329151187
mps-uncap,0.3,45.566010584740134,545.4461007824365,334.58994015009046
mps-uncap,0.4,59.2374544817661,675.5088996126516,442.52657818089324
