mode,load,0_resnet50-32,1_resnet50-32
mig,0.1,0.040531158447265625,0.04124641418457031
mig,0.2,0.0286102294921875,0.030994415283203125
mig,0.3,0.025987625122070312,0.029325485229492188
mig,0.4,0.029087066650390625,0.04601478576660156
mig,0.5,4.713296890258789,17.6846981048584
mig,0.6,12.28940486907959,21.439552307128906
mig,0.7,23.20873737335205,76.15780830383301
mig,0.8,56.862711906433105,384.0184211730957
mig,0.9,1550.4412651062012,3481.9257259368896
mig,1.0,2762.998104095459,6330.935955047607
