mode,load,0_efficientnet_b7-16,1_mobilenet_v3_large-2,2_resnet18-16
mps-uncap,0.8,30.1358699798584,4.770040512084961,2.4940967559814453
mps-uncap,0.9,30.266761779785156,4.738092422485352,2.7246475219726562
mps-uncap,1.0,29.789447784423828,4.755973815917969,2.5606155395507812
mps-uncap,0.5,28.12337875366211,4.739046096801758,2.5053024291992188
mps-uncap,0.6,27.997732162475586,4.773378372192383,2.465963363647461
mps-uncap,0.7,28.75041961669922,4.726648330688477,2.432107925415039
mps-uncap,0.1,27.8012752532959,4.870414733886719,2.7794837951660156
mps-uncap,0.2,27.84419059753418,4.835605621337891,2.5751590728759766
mps-uncap,0.3,28.020381927490234,4.82487678527832,2.4194717407226562
mps-uncap,0.4,27.9695987701416,4.8198699951171875,2.402782440185547
