mode,load,0_efficientnet_b7-16,1_mobilenet_v3_large-2,2_resnet18-16
mps-uncap,0.8,30.152559280395508,4.803180694580078,2.5811195373535156
mps-uncap,0.9,31.345367431640625,5.369663238525391,2.938508987426758
mps-uncap,1.0,33.32328796386719,4.908084869384766,2.576589584350586
mps-uncap,0.5,28.13863754272461,4.764080047607422,2.5298595428466797
mps-uncap,0.6,28.468847274780273,4.829645156860352,2.5110244750976562
mps-uncap,0.7,28.76734733581543,4.767179489135742,2.4459362030029297
mps-uncap,0.1,27.826309204101562,4.882097244262695,2.794981002807617
mps-uncap,0.2,27.8623104095459,4.874706268310547,2.5894641876220703
mps-uncap,0.3,28.075695037841797,4.857063293457031,2.43377685546875
mps-uncap,0.4,28.015613555908203,4.852056503295898,2.4156570434570312
