mode,load,0_densenet121-2,1_densenet169-8,2_efficientnet_b7-4
mps-uncap,0.8,6143.387758731842,5077.50529050827,771.262836456299
mps-uncap,0.9,13909.457445144653,10889.267950057983,8743.384029865265
mps-uncap,1.0,17744.359827041626,16972.85014152527,11162.355573177338
mps-uncap,0.5,82.0530009269714,114.71497058868337,122.98959970474235
mps-uncap,0.6,163.43964815139776,150.94786643981936,173.78622531890852
mps-uncap,0.7,785.3182077407836,448.4274840354918,327.1382045745846
mps-uncap,0.1,22.415320873260487,29.61791038513183,28.391122817993164
mps-uncap,0.2,22.696771621704126,28.244457244873047,29.445877075195323
mps-uncap,0.3,31.715962886810374,40.416536331176815,47.463262081146155
mps-uncap,0.4,44.33461189270021,64.30838584899902,68.94236564636209
